tweet,class,date_posted
IH 69 Eastex Frwy NB connector ramp to IH 610 N. Loop WB closed due to heavy truck/ hazmat incident. ,0,2017-06-16 14:35:47+00:00
Richmond Avenue at IH 610 W. Loop will be closed this wknd for work on IH 69 NB/SB connector ramp to IH 610 W. Loop. ,0,2017-06-09 18:21:03+00:00
Reminder: IH 45 Gulf Frwy SB at Fuqua all mainlanes will be closed this WKND from 9pm tonight until 5am Monday. ,0,2017-06-09 13:36:39+00:00
Update on heavy truck/ hazmat incident on SH 225 WB at Scarborough Ln. Crews still working at scene. All mainlanes closed at this time. ,0,2017-06-05 19:01:43+00:00
Traffic alert: overturned heavy truck/ hazmat spill has the entire intersection of SH 288 at FM 2004 in  closed. Seek alt rt. ,0,2017-06-05 09:17:14+00:00
FM 762 SB at FM 2759 in FortBendCo all lanes closed due a heavy truck incident. Seek alt. route.,0,2017-05-31 21:17:03+00:00
All mainlanes of IH 69 Eastex NB at IH 610 now open following heavy truck incident. Reminder lanes will be closed at 9pm for repair.,0,2017-05-05 18:07:16+00:00
Crews still working to clear heavy truck incident on IH 69 Eastex NB at IH 610 N. Loop. Roadway will be closed tonight at 9pm for repairs.,0,2017-05-05 16:28:30+00:00
"Once traffic is flushed, then work goes into getting ramps closed and traffic control set up for directing motorists. ",0,2017-05-02 16:08:06+00:00
It shows an inside lane to be closed until at least late June. This is to facilitate work for the new 610/288 connectors.,0,2017-04-25 19:28:12+00:00
THIS WKND: FM 1093/ Westeimer EB/WB from McCue to IH 610 W. Loop to be closed for road work Sat at 9pm until Sun at 6am. ,0,2017-04-20 21:19:40+00:00
Crews are back out with  to inspect Waco St. bridge at IH 10 East Frwy. One WB mainlane of IH 10 closed at this time.,0,2017-04-20 19:29:08+00:00
Crews are working to clear debris and inspect bridge on IH 10 East Frwy WB at Waco. One lane closed at this time.,0,2017-04-20 18:29:55+00:00
SH 6 between McCormick and E ½ streets in Alvin/  all lanes in both directions closed due to ruptured gas line.,0,2017-04-19 19:37:34+00:00
SH 288 SB to I-69/US 59 SB closed for several hours to clear overturned 18 wheeler. Detour to I-69 NB and u-turn &amp; avoid area til clear.,0,2017-04-16 02:55:06+00:00
Crews will repair lighting along the Galveston Causeway starting today until early May. A single alt. lane of IH 45 NB or SB will be closed.,0,2017-04-13 14:39:39+00:00
THIS WKND IH 10 East Frwy WB at Waco all mainlanes will be closed until Sunday at 7:30pm. Chk  for updates.,0,2017-04-08 15:19:08+00:00
IH 10 East Frwy WB at Waco all mainlanes will be closed on Saturday at 5am until Sunday at 7:30pm. Chk  for updates.,0,2017-04-07 22:09:23+00:00
Some lanes have opened up on IH 10 East Frwy EB at Uvalde. Two lanes remain closed as crews work to clear accident with heavy truck.,0,2017-04-06 17:52:07+00:00
Major accident involving heavy truck has all mainlanes of IH 10 East Frwy EB at Uvalde closed. No est. time on when it will clear. ,0,2017-04-06 17:31:05+00:00
The Elysian Viaduct is now closed for construction. Work will take about 32 months to complete. For more info go to ,0,2017-04-03 13:45:17+00:00
Crews continue to clean hazmat spill that has the SH 146 southbound ramp to SH 225 westbound closed. We will send notice once it opens. ,0,2017-03-28 16:37:42+00:00
A hazmat spill has the SH 146 southbound ramp to SH 225 westbound closed at this time.,0,2017-03-28 16:25:21+00:00
FM 519 in both directions from SH 3 to SH 146 in  is closed due to gas line issue.,0,2017-03-20 17:19:27+00:00
The demolition of the SH 36 Bridge in Fort Bend Count will begin this WKND. SH 36/US 59 intersection will be closed 3/10 at 9p - 3/13 at 5a.,0,2017-03-10 22:06:33+00:00
SH 288 SB exit ramp to MacGregor is still closed due to fatal accident. Seek alternate exit if going to the Texas Medical Center.,0,2017-03-10 19:40:09+00:00
Heavy truck/ hazmat incident on IH 10 East Frwy EB at Beltway continues to work. A right lane remains closed.,0,2017-03-08 20:10:17+00:00
Crews will repair concrete barrier on IH 10 Katy EB at Houston Ave. A right lane from Houston Ave to Smith St will be closed til noon.,0,2017-03-07 16:22:56+00:00
Crews continue clean up on IH 10 East Frwy WB at Uvalde following jack-knifed 18 wheeler incident. All mainlanes now open. U-turn is closed.,0,2017-03-05 21:58:05+00:00
US 90A westbound near Kirkwood left lane closed due to accident.  working the scene.,0,2017-03-03 20:44:42+00:00
All mainlanes of IH 10 E. Frwy WB just before IH 610 E. Loop closed due to heavy truck accident with fuel spill. Seek alt. route. ,0,2017-03-01 19:36:41+00:00
Crews are picking up equipment on IH 45 NB near Hardy Toll and they will begin the process of opening up the closed lanes.,0,2017-02-22 22:46:17+00:00
Yes you are correct. This is why the road remains closed though the repairs have been completed.,0,2017-02-22 20:51:19+00:00
All TxDOT offices are closed today for Presidents' Day. Stay safe out there and make sure to focus on the road as you travel today.,0,2017-02-20 13:01:20+00:00
"Reminder: TxDOT offices will be closed Monday, February 20 for the Presidents' Day Holiday.",0,2017-02-17 20:50:14+00:00
Nightly rd. work on IH 10 Katy EB mainlanes from Gessner to Wirt 9p-5a until Thursday. 3 right lanes and ramps closed each night.,0,2017-02-14 21:14:26+00:00
3 lanes of IH610 South Loop  (near NRG Staduim) closed due to incident. Expect delays. Will update when clear. knowbeforeyougo,0,2017-02-05 19:39:56+00:00
US 59/ IH 69 SB at FM 2218 in Ft Bend closed this wknd until Monday at 5 am for traffic switch. Get info at ,0,2017-01-22 02:42:34+00:00
THIS WKND: US 59/ IH 69 SB at FM 2218 in Ft Bend County will closed tonight at 9pm until Monday at 5 am for traffic switch.,0,2017-01-20 14:21:38+00:00
Starting tonight at 9pm all mainlanes of IH 10 Katy EB at N. Shepherd will be closed for road work. More info at ,0,2017-01-06 15:23:47+00:00
THIS WKND: IH 10 Katy EB at Shepherd all mainlanes closed for the Houston Ave Bridge repair from Fri. 9p to Mon. 5a. Use IH 610 as alt.,0,2017-01-04 18:45:15+00:00
"Closed due to accident in Webster on I-45 Gulf Fwy Outbound before FM 2351 and before EL Dorado, stopped traffic back to Dixie Farm Rd.",0,2017-12-29 15:41:43+00:00
"Closed due to accident in SwSide on 69 SW Fwy Inbound approaching Hillcroft and before The Westpark Tollway, sto... ",0,2017-12-29 13:36:46+00:00
"Closed due to accident in SwSide on 69 SW Fwy Inbound at Hillcroft and before The Westpark Tollway, stopped traffic back to Fondren",0,2017-12-29 12:56:52+00:00
Closed due to accident in MuseumDistrict on US-69 NB between Spur 527 and Fannin traffic ,0,2017-12-29 08:41:45+00:00
Closed due to accident in Alief on The Westpark Tollway WB between Dairy Ashford St and Eldridge Pkwy traffic ,0,2017-12-29 08:40:43+00:00
"Closed due to accident in Downtown on I-10 Katy Fwy Outbound after Studemont and before Heights, stopped traffic back to San Jacinto",0,2017-12-27 16:49:16+00:00
"Closed due to accident in Downtown on I-10 Katy Fwy Outbound after Studemont and before Heights, stopped traffic back to I-45 traffic",0,2017-12-27 16:15:32+00:00
"Closed due to accident in NeSide on US-69 NB after Lauder to Lee Rd., stopped traffic back to E. Mt Houston traffic ",0,2017-12-27 15:20:59+00:00
"Closed due to accident in NeSide on US-69 NB after Lauder to Lee Rd., stopped traffic back to Aldine Mail Rt traffic ",0,2017-12-27 15:13:24+00:00
Closed due to accident in TomballParkway on Hwy 249 Both NB/SB at Hollister traffic ,0,2017-12-25 23:27:28+00:00
Closed due to accident in SplendoraNorthOfKingwood on US-69 NB at FM 2090 traffic ,0,2017-12-25 09:27:39+00:00
"Closed due to accident in SoutheastSide on 610 EB between Hwy 225 and Old Galveston Rd., stopped traffic back to Telephone traffic",0,2017-12-23 20:48:47+00:00
"Closed due to accident in Baytown on I-10 E Fwy WB approaching John Martin and before Wade, stopped traffic back to Hwy 146 traffic",0,2017-12-22 17:41:07+00:00
"Closed due to accident in Downtown on Hwy 288 S Fwy Inbound after Macgregor and to Southmore, stopped traffic back to Holly Hall traffic",0,2017-12-22 17:19:51+00:00
"Closed due to accident in Downtown on Hwy 288 S Fwy Inbound after Macgregor and to Southmore, stopped traffic back to Holcombe traffic",0,2017-12-22 17:12:52+00:00
"Closed due to accident in Baytown on I-10 E Fwy WB approaching John Martin and before Wade, stopped traffic back to Sjolander traffic",0,2017-12-22 16:55:44+00:00
"Closed due to accident in Baytown on I-10 E Fwy WB approaching John Martin and before Wade, stopped traffic back to Garth Rd traffic",0,2017-12-22 16:31:30+00:00
"Closed due to accident in Baytown on I-10 E Fwy WB after John Martin and before Wade, stopped traffic back to Garth Rd traffic",0,2017-12-22 16:27:08+00:00
Closed due to accident in FortBend on Hwy 99 SB after Westheimer Pkwy and to Fry Rd traffic ,0,2017-12-22 12:43:00+00:00
"Road construction, right lane closed in MemorialPark on 610 W Lp SB before Woodway, stop and go traffic back to I-10 The Katy Fwy traffic",0,2017-12-21 15:57:27+00:00
"Road construction, right lane closed in Brookhollow on 610 W Lp SB before Woodway, stop and go traffic back to Hwy 290, delay of 8 mins",0,2017-12-21 14:48:11+00:00
"Road construction, right lane closed in MemorialPark on 610 W Lp SB at Woodway, stop and go traffic back to I-10 The Katy Fwy traffic",0,2017-12-20 18:00:24+00:00
"Road construction, right lane closed in Houston on 610 W Lp SB at Woodway, stop and go traffic back to Hempstead, delay of 7 mins traffic",0,2017-12-20 16:52:29+00:00
"Closed due to accident in SwSide on US-69 NB at The Westpark Tollway, stopped traffic back to Fondren traffic ",0,2017-12-20 06:01:24+00:00
"Closed due to accident in SwSide on US-69 NB at The Westpark Tollway, stopped traffic back to Bellaire Blvd traffic ",0,2017-12-20 06:00:53+00:00
"Closed due to accident in Montgomery on US-69 SB at TX-242, stop and go traffic back to E River Rd. traffic ",0,2017-12-20 05:59:19+00:00
"Road construction, right lane closed on 610 W Lp SB at Woodway, stop and go traffic back to Old Katy Rd., delay of 5 mins traffic",0,2017-12-19 17:09:01+00:00
"Closed due to accident in Kingwood on 69 Eastex Fwy Inbound after Lp 494 and to Townsen Boulevard, stopped traffic back to N Park Dr",0,2017-12-19 14:21:59+00:00
"Closed due to accident in Kingwood on 69 Eastex Fwy Inbound after Lp 494 and to Townsen Boulevard, stopped traffic back to Kingwood Dr",0,2017-12-19 14:17:27+00:00
"Closed due to accident in SeSide on 610 N Lp WB after The N Fwy and before Airline, stopped traffic back to Lockwood traffic",0,2017-12-19 13:37:22+00:00
"Closed due to accident in SeSide on 610 N Lp WB after The N Fwy and before Airline, stopped traffic back to 69 Eastex Fwy traffic",0,2017-12-19 12:34:18+00:00
"Closed due to accident in SeSide on 610 N Lp WB after The N Fwy and before Airline, stopped traffic back to The Hardy Toll Rd. traffic",0,2017-12-19 12:20:35+00:00
"Closed due to accident in SeSide on Hwy 146 NB between FM-2094 Rd and 2nd St, stopped traffic back to Hwy 96 traffic ",0,2017-12-19 11:48:42+00:00
Closed due to accident in SeSide on Hwy 146 NB between FM-2094 Rd and 2nd St traffic ,0,2017-12-19 11:46:32+00:00
Closed due to accident in Harris on Hwy 146 SB between 2nd St and FM-2094 Rd traffic ,0,2017-12-19 11:45:58+00:00
Closed due to accident at hillcroft in SouthwestSide on I-69 SW Fwy Outbound between Fountain View Dr and Bellai... ,0,2017-12-19 01:42:11+00:00
"All main lanes closed for a accident. in EastSide on 610 E Lp SB between The Port Of Houston and Manchester, sto... ",0,2017-12-19 00:36:30+00:00
Closed due to accident at hillcroft in SouthwestSide on I-69 SW Fwy Outbound between Fountain View Dr and Bellaire Blvd. traffic,0,2017-12-19 00:22:50+00:00
"Closed due to accident at chimney rock. in Harris on I-69 SW Fwy HOV SB between 610 W Lp and Fountain View Dr, s... ",0,2017-12-19 00:12:34+00:00
"Closed due to accident in Harris on I-69 SW Fwy HOV SB between 610 W Lp and Fountain View Dr, stopped traffic back to US-59 traffic",0,2017-12-19 00:10:44+00:00
Closed due to accident in Harris on I-69 SW Fwy HOV SB between 610 W Lp and Fountain View Dr traffic ,0,2017-12-19 00:10:11+00:00
"Closed due to accident in SeSide on I-45 NB at Griggs, stopped traffic back to Broadway traffic ",0,2017-12-16 21:51:20+00:00
"Closed due to accident in GreenwayUpperKirby on US-69 NB at Weslayan, stopped traffic back to Fountain View traffic ",0,2017-12-16 20:55:31+00:00
"Closed due to accident in NorthSide on I-45 N Fwy Outbound after Rankin and before Airtex, stopped traffic back to W Rd. traffic",0,2017-12-15 13:26:53+00:00
Closed due to accident in SeSide on I-45 SB between Scarsdale and Dixie Farm Rd. traffic ,0,2017-12-15 08:59:03+00:00
"Closed due to accident in NeSide on 69 Eastex Fwy Inbound after Aldine Mail Rt and before E. Mt Houston, stopped traffic back to Lee Rd.",0,2017-12-14 17:03:04+00:00
"Closed due to accident in NeSide on 69 Eastex Fwy Inbound after Aldine Mail Rt and before E. Mt Houston, stopped traffic back to Lauder",0,2017-12-14 16:52:19+00:00
Closed due to accident in Humble on I-69 Eastex Fwy Outbound between Townsen Blvd and Sorters traffic ,0,2017-12-13 22:55:00+00:00
Closed due to accident in Houston on I-69 Eastex Fwy Outbound between Sorters and Kingwood Dr traffic ,0,2017-12-13 22:46:06+00:00
Closed due to accident in Downtown on I-10 EB approaching I-45 and before San Jacinto traffic ,0,2017-12-13 11:10:30+00:00
Closed due to accident in Downtown on I-10 EB between I-45 and San Jacinto traffic ,0,2017-12-13 10:25:28+00:00
Closed due to accident in EastSide on 610 NB between The I-10 Baytown E Fwy and Gellhorn traffic ,0,2017-12-13 08:58:03+00:00
"All managed lanes closed. in WestSide on I-10 Katy Fwy Managed Lanes Inbound at The W Lp, stopped traffic back to Bingle Rd traffic",0,2017-12-12 23:26:12+00:00
"All managed lanes closed. in WestSide on I-10 Katy Fwy Managed Lanes Inbound at The W Lp, stopped traffic back to Wirt, delay of 14 mins",0,2017-12-12 23:20:11+00:00
"Closed due to accident in WestSide on I-10 Katy Fwy Managed Lanes Inbound at The W Lp, stopped traffic back to Wirt traffic",0,2017-12-12 23:19:32+00:00
"Road construction, left lane closed in Galveston on I-45 Gulf Fwy Inbound at Tiki Island, stop and go traffic back to Harborside Dr.",0,2017-12-12 20:55:08+00:00
All lanes closed. in WestSide on The Westpark Tollway EB between Gessner Rd and Hillcroft St traffic ,0,2017-12-12 19:20:57+00:00
"Vehicle fire. all lanes closed. in WestSide on The Westpark Tollway EB approaching Fondren Rd, stopped traffic back to Gessner Rd traffic",0,2017-12-12 19:04:40+00:00
"Road construction. two left lanes closed. in Galveston on I-45 Gulf Fwy Inbound at Tiki Island, stop and go traffic back to Harborside Dr.",0,2017-12-12 17:35:22+00:00
"Closed due to accident in NorthSide on 45 N Fwy SB between Crosstimbers and The N Lp, stopped traffic back to Tidwell Rd. traffic",0,2017-12-10 12:39:53+00:00
"Closed due to accident in LaMarque on I-45 SB at FM 1764, stopped traffic back to Hughes traffic ",0,2017-12-10 03:22:00+00:00
"Closed due to accident in Downtown on I-45 NB between Cullen and Scott, stopped traffic back to Lockwood traffic ",0,2017-12-09 11:53:33+00:00
"Closed due to accident in Bellaire on 610 W Lp SB at 69 The SW Fwy and before Fournace, stopped traffic back to T.C. Jester traffic",0,2017-12-08 14:15:31+00:00
"Closed due to accident in Bellaire on 610 W Lp SB at 69 The SW Fwy and before Fournace, stopped traffic back to Old Katy Rd. traffic",0,2017-12-08 13:38:09+00:00
"Closed due to accident in Downtown on Hwy 288 S Fwy Inbound at 69 SW Fwy and before I-45, stopped traffic back to Holcombe traffic",0,2017-12-08 12:32:23+00:00
"Closed due to accident in Bellaire on 610 W Lp SB at 69 The SW Fwy and before Fournace, stopped traffic back to I-10 The Katy Fwy traffic",0,2017-12-08 12:32:23+00:00
"Closed due to accident in Bellaire on 610 W Lp SB at 69 The SW Fwy and before Fournace, stopped traffic back to Woodway traffic",0,2017-12-08 12:24:35+00:00
"Closed due to accident in Downtown on Hwy 288 S Fwy Inbound at 69 SW Fwy and before I-45, stopped traffic back to Macgregor traffic",0,2017-12-08 12:08:37+00:00
"Closed due to accident in Bellaire on 610 W Lp SB at 69 The SW Fwy and before Fournace, stopped traffic back to Post Oak Blvd. traffic",0,2017-12-08 12:08:37+00:00
Exit ramp closed due to ice in NwSide on US-290 EB at The W Sam Houston Tollway traffic ,0,2017-12-08 12:06:57+00:00
"Closed due to accident in Bellaire on 610 W Lp SB at 69 The SW Fwy and before Fournace, stopped traffic back to San Felipe traffic",0,2017-12-08 11:52:37+00:00
"Closed due to accident in Downtown on Hwy 288 S Fwy Inbound at 69 SW Fwy and before I-45, stopped traffic back to Southmore traffic",0,2017-12-08 11:50:23+00:00
Closed due to accident in Downtown on Hwy 288 S Fwy Inbound at 69 SW Fwy and before I-45 traffic ,0,2017-12-08 11:21:55+00:00
Closed due to accident in Brookshire on I-10 WB between Peach Rdg Rd and Bartlett Rd traffic ,0,2017-12-08 10:02:27+00:00
Closed due to accident in Waller on I-10 WB between Peach Rdg Rd and Bartlett Rd traffic ,0,2017-12-08 10:01:55+00:00
All lanes closed for an accident in Harris on Fm 2920 WB between Hufsmith Kohrville Rd and Cherry St traffic ,0,2017-12-08 01:08:27+00:00
Hov lane closed for stalled metro bus in Harris on I-45 N Fwy Outbound between Cavalcade and The 610 N Lp traffic ,0,2017-12-07 00:11:32+00:00
Accident. managed lanes closed due to accident at gessner in Harris on I-10 Katy Fwy EB between Gessner and Bunk... ,0,2017-12-06 18:07:40+00:00
Closed due to accident in Angleton on Hwy 288 SB between Hwy 35 and S. Walker St. traffic ,0,2017-12-06 04:48:26+00:00
Closed due to accident at the south sam houston tollway in Harris on Hwy 288 S Fwy SB from Almeda Genoa to Mchard traffic,0,2017-12-04 16:47:50+00:00
"Closed due to accident in SouthSide on Hwy 288 S Fwy SB after The S Sam Houston Tollway, stopped traffic back to Almeda Genoa traffic",0,2017-12-04 16:46:12+00:00
"Closed due to accident in SouthSide on Hwy 288 S Fwy SB at The S Sam Houston Tollway, stopped traffic back to Almeda Genoa traffic",0,2017-12-04 16:42:23+00:00
"Closed due to accident in SouthSide on Hwy 288 S Fwy SB approaching The S Sam Houston Tollway, stopped traffic back to Almeda Genoa",0,2017-12-04 16:42:18+00:00
Closed due to road construction in NwSide on 290 NW Fwy WB between W Rd. and Eldridge traffic ,0,2017-12-04 02:15:01+00:00
Closed due to road construction in NorthSide on 45 N Fwy NB between I-10 and Quitman traffic ,0,2017-12-04 02:15:01+00:00
Closed due to road construction in Downtown on I-10 Katy Fwy WB between I-45 and Taylor traffic ,0,2017-12-04 02:14:30+00:00
"Closed due to road construction in NorthSide on 45 N Fwy NB between I-10 and Quitman, stopped traffic back to 69 traffic",0,2017-12-03 20:14:41+00:00
"Closed due to road construction in Downtown on I-10 Katy Fwy WB between I-45 and Taylor, stopped traffic back to 69 Eastex Fwy traffic",0,2017-12-03 18:49:19+00:00
"Closed due to road construction in NwSide on 290 NW Fwy WB between W Rd. and Eldridge, stopped traffic back to The W Sam Houston Tollway",0,2017-12-03 17:02:38+00:00
"Closed due to road construction in NorthSide on 45 N Fwy NB between I-10 and Quitman, stopped traffic back to 69 traffic",0,2017-12-03 16:24:44+00:00
"Closed due to road construction in NwSide on 290 NW Fwy WB between W Rd. and Eldridge, stopped traffic back to Jones Rd. traffic",0,2017-12-03 14:42:42+00:00
Closed due to road construction on Hwy 288 NB between Reed Rd. and The S Lp traffic ,0,2017-12-03 11:20:51+00:00
Closed due to road construction in NorthSide on 45 N Fwy NB between I-10 and Quitman traffic ,0,2017-12-03 11:16:12+00:00
Closed due to road construction in Downtown on I-10 Katy Fwy WB between I-45 and Taylor traffic ,0,2017-12-03 11:13:06+00:00
Closed due to road construction in NwSide on 290 NW Fwy WB between W Rd. and Eldridge traffic ,0,2017-12-03 11:11:33+00:00
"Closed due to accident in Richmond on SW Fwy SB near Williams Wy Boulevard, stopped traffic back to University Blvd, delay of 30 mins",0,2017-12-02 13:15:13+00:00
"Closed due to accident in Richmond on SW Fwy SB near Williams Wy Boulevard, stopped traffic back to University Blvd traffic",0,2017-12-02 13:08:02+00:00
Closed due to accident in LeagueCity on I-45 SB between FM 518 and Calder traffic ,0,2017-12-02 12:55:42+00:00
Closed due to accident in BushAirport on Beltway 8 EB between John F Kennedy Blvd and Vickery Dr traffic ,0,2017-12-02 10:22:11+00:00
Closed due to accident in LeagueCity on I-45 SB between FM 518 and Calder traffic ,0,2017-12-02 08:21:01+00:00
Closed due to accident in EastSide on I-10 EB between Gellhorn and The E Lp traffic ,0,2017-12-02 07:17:11+00:00
Closed due to accident in SwSide on US-69 SB between Bellaire Blvd and Fondren traffic ,0,2017-12-02 04:29:24+00:00
Closed due to accident in SwSide on US-69 SB between Kirby Dr and Buffalo Speedway traffic ,0,2017-12-01 08:53:52+00:00
"Accident involving an 18-wheeler. all mainlanes closed. in EastSide on I-10 Baytown E Fwy Inbound at The E Lp, ... ",0,2017-11-30 13:59:20+00:00
Closed for rollover accident in Bellaire on 610 W Lp frontage Rd NB between Bellaire and Fournace traffic ,0,2017-11-29 19:19:46+00:00
"Closed due to accident in WestSide on I-10 Katy Fwy Outbound approaching The W Lp to Silber, stopped traffic back to Shepherd traffic",0,2017-11-28 22:19:35+00:00
Vehicle with too tall load hit the over pass. freeway closed. in Downtown on I-10 katy Fwy Inbound between Taylor and I-45 traffic,0,2017-11-28 22:12:21+00:00
Vehicle with too tall load hit the over pass. freeway closed. in Downtown on I-10 katy Fwy Inbound approaching I-45 traffic,0,2017-11-28 22:11:42+00:00
Exit ramp closed in MemorialPark on 610 W Lp NB at I-10 The Katy Fwy traffic ,0,2017-11-28 19:56:57+00:00
"Closed due to accident in WestSide on I-10 Katy Fwy Outbound approaching The W Lp to Silber, stopped traffic back to Shepherd traffic",0,2017-11-28 18:13:52+00:00
"Closed due to accident in WestSide on I-10 Katy Fwy Outbound approaching The W Lp to Silber, stopped traffic back to Heights traffic",0,2017-11-28 17:31:52+00:00
"Closed due to accident in WestSide on I-10 Katy Fwy Outbound approaching The W Lp to Silber, stopped traffic back to Studemont traffic",0,2017-11-28 16:56:55+00:00
"Closed due to accident in WestSide on I-10 Katy Fwy Outbound approaching The W Lp to Silber, stopped traffic back to Taylor traffic",0,2017-11-28 16:31:01+00:00
